,Series_Type,Series_Name
277,COLASA1URN,"Unemployment Rate in Las Animas County, CO"
278,COLINC3URN,"Unemployment Rate in Lincoln County, CO"
279,COLOGA5URN,"Unemployment Rate in Logan County, CO"
280,COMESA5URN,"Unemployment Rate in Mesa County, CO"
281,COMINE9URN,"Unemployment Rate in Mineral County, CO"
282,COMOFF1URN,"Unemployment Rate in Moffat County, CO"
283,COMONT3URN,"Unemployment Rate in Montezuma County, CO"
284,COMONT5URN,"Unemployment Rate in Montrose County, CO"
285,COMORG7URN,"Unemployment Rate in Morgan County, CO"
286,COOTER9URN,"Unemployment Rate in Otero County, CO"
287,COOURA1URN,"Unemployment Rate in Ouray County, CO"
288,COPARK3URN,"Unemployment Rate in Park County, CO"
289,COPHIL5URN,"Unemployment Rate in Phillips County, CO"
290,COPITK7URN,"Unemployment Rate in Pitkin County, CO"
291,COPROW9URN,"Unemployment Rate in Prowers County, CO"
292,COPUEB2URN,"Unemployment Rate in Pueblo County, CO"
293,CORIOB3URN,"Unemployment Rate in Rio Blanco County, CO"
294,CORIOG5URN,"Unemployment Rate in Rio Grande County, CO"
295,COROUT7URN,"Unemployment Rate in Routt County, CO"
296,COSAGU9URN,"Unemployment Rate in Saguache County, CO"
297,COSANJ1URN,"Unemployment Rate in San Juan County, CO"
298,COSANM3URN,"Unemployment Rate in San Miguel County, CO"
299,COSEDG5URN,"Unemployment Rate in Sedgwick County, CO"
300,COSUMM7URN,"Unemployment Rate in Summit County, CO"
301,COTELL9URN,"Unemployment Rate in Teller County, CO"
302,COWASH1URN,"Unemployment Rate in Washington County, CO"
303,COWELD3URN,"Unemployment Rate in Weld County, CO"
304,COYUMA5URN,"Unemployment Rate in Yuma County, CO"
305,CTFAIR1URN,"Unemployment Rate in Fairfield County, CT"
306,CTHART3URN,"Unemployment Rate in Hartford County, CT"
307,CTLITC5URN,"Unemployment Rate in Litchfield County, CT"
308,CTMIDD7URN,"Unemployment Rate in Middlesex County, CT"
309,CTNEWH9URN,"Unemployment Rate in New Haven County, CT"
310,CTNEWL1URN,"Unemployment Rate in New London County, CT"
311,CTTOLL3URN,"Unemployment Rate in Tolland County, CT"
312,CTWIND5URN,"Unemployment Rate in Windham County, CT"
313,DCDIST5URN,Unemployment Rate in the District of Columbia
314,DEKENT1URN,"Unemployment Rate in Kent County, DE"
315,DENEWC3URN,"Unemployment Rate in New Castle County, DE"
316,DESUSS0URN,"Unemployment Rate in Sussex County, DE"
317,FLALAC1URN,"Unemployment Rate in Alachua County, FL"
318,FLBAKE3URN,"Unemployment Rate in Baker County, FL"
319,FLBAYC5URN,"Unemployment Rate in Bay County, FL"
320,FLBRAD7URN,"Unemployment Rate in Bradford County, FL"
321,FLBREV3URN,"Unemployment Rate in Brevard County, FL"
322,FLBROW5URN,"Unemployment Rate in Broward County, FL"
323,FLCALH3URN,"Unemployment Rate in Calhoun County, FL"
324,FLCHAR5URN,"Unemployment Rate in Charlotte County, FL"
325,FLCITR5URN,"Unemployment Rate in Citrus County, FL"
326,FLCLAY5URN,"Unemployment Rate in Clay County, FL"
327,FLCOLL0URN,"Unemployment Rate in Collier County, FL"
328,FLCOLU3URN,"Unemployment Rate in Columbia County, FL"
